Timestamp,TP9,AF7,AF8,TP10,AUX
1742783537.5926046,-33.69140625,2.9296875,-47.36328125,-17.578125,0.0
1742783537.59651,-124.51171875,-260.25390625,-75.1953125,-101.5625,0.0
1742783537.6004152,-26.3671875,-82.03125,-53.22265625,-29.78515625,0.0
1742783537.6043205,78.125,213.37890625,-20.01953125,68.359375,0.0
1742783537.6082258,12.20703125,94.23828125,-36.1328125,16.11328125,0.0
1742783537.6121314,-125.9765625,-297.36328125,-84.47265625,-113.28125,0.0
1742783537.6160367,-77.63671875,-246.09375,-74.70703125,-81.54296875,0.0
1742783537.619942,69.3359375,59.08203125,-33.203125,57.12890625,0.0
1742783537.6238472,48.33984375,137.6953125,-33.69140625,37.109375,0.0
1742783537.6277525,-116.2109375,-70.80078125,-60.546875,-94.23828125,0.0
1742783537.6316578,-112.79296875,-245.1171875,-61.03515625,-92.7734375,0.0
1742783537.6355631,39.55078125,60.546875,-21.484375,33.203125,0.0
1742783537.6394777,74.21875,303.7109375,-2.9296875,66.89453125,0.0
1742783537.643383,-47.36328125,-2.44140625,-40.0390625,-51.26953125,0.0
1742783537.6472883,-101.07421875,-333.0078125,-68.359375,-100.5859375,0.0
1742783537.6511939,10.25390625,-89.84375,-30.2734375,-4.39453125,0.0
1742783537.6550992,89.35546875,267.08984375,5.859375,79.1015625,0.0
1742783537.6590044,-21.97265625,7.32421875,-31.25,0.0,0.0
1742783537.6629097,-135.7421875,-404.78515625,-74.21875,-106.4453125,0.0
1742783537.666815,-50.78125,-313.96484375,-50.29296875,-39.55078125,0.0
1742783537.6707203,63.96484375,229.4921875,5.37109375,64.94140625,0.0
1742783537.6746256,10.7421875,292.48046875,1.953125,35.15625,0.0
1742783537.678531,-105.95703125,-274.4140625,-55.17578125,-81.54296875,0.0
1742783537.6824362,-69.3359375,-294.921875,-49.8046875,-78.61328125,0.0
1742783537.6863499,62.5,216.796875,10.25390625,35.64453125,0.0
1742783537.6902552,54.19921875,315.4296875,13.671875,51.26953125,0.0
1742783537.6941605,-87.890625,-173.33984375,-40.52734375,-58.10546875,0.0
1742783537.6980658,-103.02734375,-337.40234375,-52.24609375,-83.984375,0.0
1742783537.701971,30.2734375,82.03125,-7.32421875,26.3671875,0.0
1742783537.7058764,93.75,285.15625,14.16015625,79.58984375,0.0
1742783537.7097816,-34.1796875,-182.12890625,-39.0625,-25.87890625,0.0
1742783537.713687,-126.46484375,-445.80078125,-62.98828125,-90.33203125,0.0
1742783537.7175922,-20.99609375,9.27734375,-11.71875,-8.7890625,0.0
