Timestamp,Stress Percentage,Boredom Percentage
2025-03-23 19:32:08,117,-20.842733059773355
2025-03-23 19:32:08,115,-20.789538648469545
2025-03-23 19:32:08,113,-16.7369028252286
2025-03-23 19:32:08,107,-17.686341514896515
2025-03-23 19:32:08,105,-24.639246211513875
2025-03-23 19:32:08,102,-21.597084566146208
2025-03-23 19:32:08,119,-25.5616828720213
2025-03-23 19:32:08,115,-12.534798251051107
2025-03-23 19:32:08,115,-26.517668059233316
2025-03-23 19:32:08,109,-24.510963983597644
2025-03-23 19:32:08,110,-22.514723881809843
2025-03-23 19:32:08,109,-27.52897739935541
2025-03-23 19:32:08,108,-18.553595384993763
2025-03-23 19:32:08,107,-13.58772935931394
2025-03-23 19:32:08,108,-12.630706571854784
2025-03-23 19:32:08,115,-19.6810919264322
2025-03-23 19:32:08,114,-15.736022356391985
2025-03-23 19:32:08,111,-14.792987176708834
2025-03-23 19:32:08,114,-22.849937038802935
2025-03-23 19:32:08,120,-27.904853973810454
2025-03-23 19:32:08,107,-13.955836939856386
2025-03-23 19:32:08,113,-29.001146996824186
2025-03-23 19:32:08,119,-24.03933062002757
2025-03-23 19:32:08,119,-14.069157022876798
2025-03-23 19:32:08,103,-20.089903400001365
2025-03-23 19:32:08,117,-15.101205171692989
2025-03-23 19:32:08,108,-19.102993493670144
2025-03-23 19:32:08,111,-21.095297479308176
2025-03-23 19:32:08,112,-22.078380031932348
2025-03-23 19:32:08,107,-20.052627400519494
2025-03-23 19:32:08,105,-28.01884208158375
2025-03-23 19:32:08,109,-17.978205556769947
2025-03-23 19:32:08,117,-18.932123452832027
2025-03-23 19:32:08,111,-22.882228683917624
2025-03-23 19:32:08,115,-14.830117761227921
2025-03-23 19:32:08,109,-22.777359918191415
2025-03-23 19:32:08,102,-12.725339479337862
2025-03-23 19:32:08,113,-13.67554572982181
2025-03-23 19:32:08,119,-18.629747668679723
2025-03-23 19:32:08,107,-12.589517269016739
2025-03-23 19:32:08,102,-21.55615774560639
2025-03-23 19:32:08,115,-20.53071090470852
2025-03-23 19:32:08,110,-19.513704852540474
2025-03-23 19:32:08,110,-24.505653492565628
2025-03-23 19:32:08,118,-13.506967155145531
2025-03-23 19:32:08,116,-24.517507495130012
2025-03-23 19:32:08,105,-18.537437583520937
2025-03-23 19:32:08,111,-19.56622741284126
2025-03-23 19:32:08,116,-22.60182225057634
2025-03-23 19:32:08,104,-27.642251737482603
2025-03-23 19:32:08,119,-21.68579588152831
2025-03-23 19:32:08,112,-12.730525307393798
2025-03-23 19:32:08,114,-16.774349438515728
2025-03-23 19:32:08,108,-25.815301448063924
2025-03-23 19:32:08,110,-25.851773997842393
2025-03-23 19:32:08,104,-12.882256072525646
2025-03-23 19:32:08,115,-13.90561871238867
2025-03-23 19:32:08,114,-18.921056903231918
2025-03-23 19:32:08,119,-18.92807721862524
2025-03-23 19:32:08,110,-29.926397495485237
2025-03-23 19:32:08,102,-16.91598169482819
2025-03-23 19:32:08,114,-28.89678807071504
2025-03-23 19:32:08,117,-18.869045332661273
2025-03-23 19:32:08,104,-29.833389816425157
2025-03-23 19:32:08,105,-17.790701810563434
